character_cast_id,voice_actor_id,role_notes,dub_group
1057,95001,,
1057,95650,,
1057,109833,,
1057,104940,,
1057,116199,,
1057,96289,,
1057,104885,,
1057,193998,,
1408,95003,,
1408,95162,,
1408,176921,,
1409,95003,,
1409,119618,,
1409,106595,,
1409,158646,,
1881,95006,,
1881,96000,,4Kids
1881,102511,,
1881,109115,,
1881,115512,,Odex
1881,116195,,
1881,100069,,4Kids
1881,100886,,
1881,182224,,
1881,167445,,
1881,116431,,
1881,113867,,
1881,304186,,
1882,95006,,
1882,96602,,
1882,109337,,
1882,184125,,
1882,156060,,
1882,272731,,
1882,115238,,
2365,95009,,
2365,105878,,
2365,134019,,
2365,95511,,
2365,215607,,
2365,104249,,
3299,95015,,
3299,95326,Adult,
3299,95010,,
3299,130122,,
3299,96108,,
3299,227027,,
3711,95018,,
3711,95320,,
3711,102151,,
3711,109113,,
3711,115262,,
3711,194110,,
3711,185363,,4Kids
3711,116891,,
3711,164445,,
3711,163443,,
3711,104256,,
3711,145495,,
3711,182551,,
3712,95018,,
3712,95666,,
3712,149615,,
3712,179633,,
3712,145495,,
3712,158214,,
3948,95020,,
3948,105617,,
3948,113867,,
3948,185307,,
4803,95026,,
4803,95326,,
4803,179633,,
4803,132226,,
4803,96089,,
4804,95026,,
4804,95278,,
4804,95673,,
4804,96236,,
4804,109119,,
4804,109867,,
4804,109933,,
4804,112819,,
4804,115508,,Odex
4804,96423,,
4804,184290,,Netflix
4804,198310,,
4804,115080,,
4804,244955,,
4804,155419,,
4804,119590,,
6034,95037,,
6034,194896,,
6034,234130,,
6124,95039,,
6124,95160,,
6124,104534,,
6124,109757,,
6124,132225,,
6124,154552,,
6124,113867,,
6124,182632,,
6678,95043,,
6678,95320,,
6678,102944,,
6678,109327,,
6678,179920,,Netflix
6678,201448,,Old dub
6678,115498,,Odex
6678,138442,,
6678,174303,,Old dub
6679,95043,,
6679,95395,,
6679,101616,,
6679,102051,,4Kids
6679,197577,,
6680,95043,,
6680,95091,,
6680,109113,,
6680,261174,,
6680,180569,,
6803,95045,,
6803,129056,,
6803,199067,,
6803,104534,,
7451,95057,,
7451,95414,,
7451,199070,,
7452,95057,,
7452,95256,,
7452,95891,,
7452,101899,,
7452,105878,,
7452,184113,,
7452,116393,,
7609,95058,,
7609,101998,,
7609,175174,,
7970,95061,,
7970,110441,,
7970,168040,,
7970,175194,,
7970,304422,,
7971,95061,,
7971,105037,,
7971,105881,,
7971,144437,,
7971,96284,,
7971,248721,,
8628,95066,,
8628,95891,,
8628,108063,,
8628,186386,,
8628,176644,,
8805,95067,,
8805,95360,,
8805,181960,,
8805,101865,,4Kids
8805,104926,,
8805,106920,,
8805,108965,,
8805,110097,,
8805,112501,,
8805,115498,eps. 54-104,Odex
8805,116713,,
8805,100084,,4Kids
8805,182229,,Netflix
8805,155420,,
8805,272731,,
8805,160134,,
171233,95123,,
171234,95131,,
171235,95075,,
171236,95076,,
171237,95128,,
171238,95125,,
171239,95898,,
171240,95067,,
171241,95130,,
179382,95075,,
179382,100143,,
179382,180472,,
179382,195311,,
179382,188400,,
179382,95472,,
179382,96163,,
179384,95123,,
179384,137255,,
179384,175197,,
179384,189429,,
179384,188806,,
179384,95253,,
179384,96268,,
179385,101755,,
179385,132485,,
179385,196479,Singing,
179385,104157,,
179385,108299,,
179385,163169,,
179385,100476,,
179385,159631,,
179385,165035,,
179385,162981,,
179385,106667,,
179385,185360,,
179386,95326,,
179386,130122,,
179386,96108,,
179386,95043,,
179386,217579,,
179386,115082,,
179387,95131,,
179387,155789,,
179387,183844,,
179387,201275,,
179387,163272,,
179387,95340,,
179387,101797,,
179388,95125,,
179388,102964,,
179388,96830,,
179388,184292,,
179388,163165,,
179388,95312,,
179388,96239,,
179389,95130,,
179389,100881,,
179389,100178,,
179389,182238,,
179389,174198,,
179389,95475,,
179389,96275,,
179390,95128,,
179390,145190,,
179390,116185,,
179390,106624,,
179390,163264,,
179390,95659,,
179390,96291,,
179391,95067,,
179391,104926,,
179391,181960,,
179391,116359,,
179391,163167,,
179391,95360,,
179391,106920,,
179392,95284,,
179392,168804,,
179392,105004,,
179392,195312,,
179392,214164,,
179392,96848,,
179392,96087,,
179393,95003,,
179393,168767,,
179393,106595,,
179393,198311,,
179393,175033,,
179393,119618,,
179393,96284,,
179394,95898,,
179394,116421,,
179394,96099,,
179394,219405,,
179394,104087,,
179394,115236,,
179395,95001,,
179395,104940,,
179395,116199,,
179395,229175,,
179395,95650,,
179395,164445,,
179396,95173,,
179396,140005,,
179396,100139,,
179396,198310,,
179396,228422,,
179396,101562,,
179396,104534,,
187892,95001,,
187892,96088,,
187892,203165,,
260206,137657,,
260206,100882,,
260206,196478,Singing,
260206,106623,,
260206,217498,,
260206,96325,,
260206,168392,,
260206,106403,,
260211,95076,,
260211,105717,,
260211,96442,,
260211,107400,,
260211,174199,,
260211,95189,,
260211,96090,,
280464,128618,,
280464,208897,,
280464,218578,,
280464,145029,,
280464,156131,,
280464,96662,,
280464,100136,,
280466,170529,,
280466,229173,,
280466,174456,,
280466,139849,,
280466,96092,,
280466,190264,,
280467,145237,,
280467,229174,,
280467,114069,,
280467,230154,,
280467,224061,,
280467,200008,,
280468,132362,,
280468,156836,,
280468,127682,,
280468,230152,,
280468,116933,,
280468,100133,,
280469,95398,,
280469,129280,,
280469,145115,,
280469,102974,,
281007,95257,,
281007,130284,,
281007,152875,,
281007,158537,,
281007,185304,,
281008,174454,,
281008,127741,,
281008,96088,,
281008,188411,,
281009,95387,,
281009,120733,,
281009,138058,,
281009,167449,,
281009,188229,,
171361,95075,,
171361,95472,,
171361,180472,,
171362,95001,,
171362,95650,,
171362,116199,,
171363,95123,,
171363,95253,,
171363,175197,,
171364,95128,,
171364,95659,,
171364,116185,,
171365,95125,,
171365,95312,,
171365,96830,,
171366,95076,,
171366,95189,,
171366,96442,,
171367,95067,,
171367,95360,,
171367,181960,,
171368,95898,,
171368,104087,,
171368,96099,,
171369,95131,,
171369,95340,,
171369,183844,,
171370,95130,,
171370,95475,,
171370,100178,,
171371,101755,,
171371,100476,,
171371,104157,,
171372,137655,,
171372,119613,,
171372,194016,,
171373,137656,,
171373,287866,,
171373,185292,,
171374,137657,,
171374,96325,,
171374,106403,,
308777,127682,,
308777,132362,,
308777,100133,,
308786,129280,,
308786,95398,,
308786,102974,,
391148,101241,,
391148,106990,,
391148,254976,,
391150,95283,,
391150,117257,,
391150,210886,,
391152,287865,,
391152,227568,,
391152,106453,,
391153,95935,,
391153,119700,,
168501,95075,,
168501,96163,,
168501,188400,,
168501,95472,,
168501,96267,,
168501,180472,,
168501,100143,,
168502,95123,,
168502,96268,,
168502,188806,,
168502,95253,,
168502,175197,,
168502,137255,,
168503,95067,,
168503,106920,,
168503,163167,,
168503,95360,,
168503,181960,,
168503,104926,,
168504,95255,,
168504,115238,,
168504,163272,,
168504,95202,,
168504,189791,,
168504,145192,,
168505,95125,,
168505,96239,,
168505,163165,,
168505,95312,,
168505,96830,,
168505,102964,,
168506,100438,,
168506,96276,,
168506,188397,,
168506,96551,,
168506,100605,,
168506,149615,,
168507,95128,,
168507,96291,,
168507,163264,,
168507,95659,,
168507,116185,,
168507,145190,,
168508,102632,,
168508,95250,,
168508,103609,,
168509,95131,,
168509,101797,,
168509,163272,,
168509,95340,,
168509,183844,,
168509,155789,,
168510,95076,,
168510,102228,,
168510,96090,,
168510,217356,,
168510,95189,,
168510,96442,,
168510,105717,,
168511,96301,,
168511,162981,,
168511,96351,,
168511,102593,,
168511,101899,,
168512,95395,,
168512,95202,,
168512,177125,,
168513,107159,,
168513,95192,,
168513,96534,,
168514,95130,,
168514,96275,,
168514,174198,,
168514,95475,,
168514,100178,,
168514,100881,,
168515,95898,,
168515,168288,,
168515,164443,,
168515,219405,,
168515,104087,,
168515,96099,,
168515,116421,,
168516,95277,,
168516,109569,,
168516,217497,,
168516,95159,,
168516,106595,,
168516,114930,,
168517,95257,,
168517,228422,,
168517,101998,,
168517,96289,,
168517,102344,,
168517,104940,,
168518,95118,,
168518,115082,,
168518,164995,,
168518,109213,,
168518,100138,,
168518,104259,,
176894,95001,,
176894,96289,,
176894,188399,,
176894,95650,,
176894,116199,,
176895,95450,,
176895,96234,,
176895,127682,,
176895,107600,,
176895,106531,,
176896,140678,,
176896,218581,,
176896,230942,,
176896,102659,,
176896,163759,,
176897,95087,,
176897,96232,,
176897,175031,,
176897,95203,,
176897,132225,,
176897,176912,,
176898,96522,,
176898,164445,,
176898,218576,,
176898,95336,,
176898,248481,,
176898,194141,,
176899,95394,,
176899,156129,,
176899,229646,,
176899,145883,,
176899,116199,,
176900,95447,,
176900,158850,,
176900,163273,,
176900,100884,,
176900,106834,,
8828,95067,,
9700,95075,,
9799,95076,,
