character_id,alternative_name,is_spoiler
5677,Pigeon Guy,False
4889,Hachi,False
1541,Eneru,False
1541,God,False
16342,Hebihime,False
16342,Pirate Empress,False
16342,Hammock,False
16342,Snake Princess,False
32893,Chief of Staff,True
32893,Lucy,True
32893,Flame Emperor,True
4884,Monkey D. Dragon,True
4884,World's Worst Criminal,True
17190,Karugara,False
2072,Fire Fist Ace,False
2072,Portgaz D. Ace,False
2072,Portgaz D. Trace,False
2072,Gol D. Ace,True
22620,of the Rain,False
22620,Chief Jailer,False
2752,Aokiji,False
2752,Admiral,False
2752,The Blue Pheasant,False
21526,Captain,False
33568,Lake,False
33569,Mayor,False
21809,The Adventurer,False
21809,Hero of Slaves,False
21375,Big Knife,False
724,Long-Nose,False
724,Usohachi,False
724,Usoland,False
724,Sogeking,False
724,God Usopp,True
724,King of Snipers,True
724,Sniper King,True
724,Hana Arashi,True
62,Zolo,False
62,Pirate Hunter,False
62,Marimo Head,False
62,Mr. Bushido,False
62,Zorojuro,False
62,Moss Head,False
64,Cyborg,False
64,Bakanky,False
64,Iron Man,False
64,Fraland,False
64,Franosuke,False
64,Frankie,False
64,Cutty Flam,True
40,Straw Hat,False
40,Mugiwara,False
40,Straw,False
40,Mugi,False
40,Lucy,False
40,Luffyland,False
40,Luffy-tarou,False
40,Mugiwara no Luffy,False
40,Mugiwara-ya,False
40,The Fifth Emperor of the Sea,True
40,Sun God Nika,True
40,Joy Boy,True
723,Cat Burglar,False
723,O-Nami,False
723,Namizo,False
723,Namiland,False
309,Tanuki,False
309,Chopperman,False
309,Cotton Candy Lover,False
309,Racoon Dog,False
309,Chobro,False
309,Chopa-emon  (チョッパえもん),False
309,Chopperemon,False
305,Black Leg,False
305,Mr. Prince,False
305,Love Cook,False
305,Ero Cook,False
305,Curly Eyebrows,False
305,O-Soba Mask,False
305,Sangoro,False
305,Mr. Nosebleed,False
305,San-gorou,False
305,Vinsmoke Sanji,True
5627,Dead Bones,False
5627,Soul King,False
5627,Satan-sama,False
5627,Boneland,False
5627,Honekichi,False
5627,Bonekichi,False
5627,The Starving Skeleton,False
5627,Humming Brook,False
61,Demon Child,False
61,Miss All Sunday,False
61,Light of the Revolution,False
61,O-Robi,False
61,Robiland,False
61,Ms. Sunday,False
61,Devil Child,False
137651,Casino King,False
22687,Akainu,False
22687,Admiral,False
22687,The Red Dog,False
208896,Bakara,False
208900,Daisu,False
208899,Tanaka-san,False
208899,Mr. Tanaka,False
209064,Narcy,False
209066,Ricca,False
36846,Rear Admiral,False
287868,Livia Myskina,False
725,The Clown,False
725,Captain Buggy,False
725,Big Nose,False
725,Buggy the Star Clown,False
725,Buggy the Genius Jester,False
2753,White Hunter,False
2753,Smokey,False
2753,Smo-san,False
2753,Kemurin,False
4899,Iron Mace,False
2750,Sergeant Tashigi,False
2750,Captain-chan,False
3879,Mr. 3,False
3879,Three,False
13767,Surgeon of Death,False
13767,Dark Doctor,False
13767,Trafal-Guy,False
13767,Traffy,False
13767,Torao,False
13767,Trafalgar D. Water Law,True
140671,The Demon Heir,False
140672,Master of Festivities,False
14989,Captain,False
20292,Gang,False
20288,Roar of the Sea,False
20295,The Glutton,False
20295,Big Eater,False
20295,Conney,True
4887,Arlong the Saw,False
22415,Tubifex,False
11398,Sea Weasel,False
21536,Salvage King,False
20176,Shalulia Guu,False
17178,Legendary Samurai,False
17178,Sword God,False
17178,Ryuuma the King,False
17178,Ryuma,False
8064,The Fist,False
8064,Hero of the Marines,False
8064,Garp the Fist,False
8064,Monkey D. Garp,True
149219,Spiel the Hexagon,False
17004,Crescent Moon,False
21221,Onion,False
21222,Pepper,False
12361,Coby,False
21223,Carrot,False
4393,Doctor Kureha,False
4393,Doctorine,False
5422,Tin-Plate,False
19271,Hiruluk,False
19271,Hiruruk,False
19271,Hiluruk,False
19271,Quack Doc,False
19271,Doctor Hiluluk,False
36309,語り手,False
36309,ナレーション,False
36309,Narrador,False
36309,Rozprávač,False
36309,Vyprávěč,False
36309,Dış ses,False
36309,Narratore,False
36309,Pripovjedač,False
36309,Narradora,False
36309,Рассказчик,False
36309,Người dẫn chuyện,False
36309,Tagapagsalaysay,False
36309,내레이터,False
36309,Narratore,False
36309,Erzählperson,False
36309,מספר,False
36309,Narrátor,False
36309,讲述人,False
36309,راوي,False
36309,Forteller,False
36309,Berättare,False
36309,Αφηγητής,False
36309,Narrateur,False
36309,なれーしょん,False
36309,旁白,False
36309,Narrato,False
2751,Whitebeard,False
2751,Strongest Man in the World,False
2751,The Man closest to One Piece,False
2751,Ward Newgate,False
9098,Peregrine Falcon,False
9098,Peru,False
25870,Karoo,False
4875,Mr. 2,False
4875,Bon Clay/Kurei,False
4875,Bon-chan,False
20330,Vice-Admiral,False
23528,Leader,False
2749,Mr. 0,False
2749,Crocoboy,False
2749,Sir Crocodile,False
2749,Desert King,False
726,Miss Wednesday,False
726,Nefeltari Vivi,False
726,Nefertari D. Vivi,True
9344,Nefertari D. Cobra,True
21553,Mr. 1,False
21553,The Killer,False
21220,The Jackal,False
21556,ミス・ダブルフィンガー,False
21556,Miss Doublefinger,False
21556,ポーラ,False
21556,Paula,False
21556,Pola,False
21556,Poison Spider,False
21556,Zala,False
23529,Tu-Tu,False
23529,Toh-Toh,False
38616,Roba,False
18454,Skinny glasses,False
38614,General,False
38615,Honkey,False
38615,Colonel,False
30503,光速の剣士・トウマ,False
727,Red-Haired,False
727,Akagami,False
727,Shanks den røde,False
25869,General Gasparde,False
67837,Bigalo the Hanged Man,False
61435,Anaguma,False
4886,The Hypnotist,False
4886,Jango Santohei,False
4886,Django,False
12281,Odacchi,False
31662,The Great Gold Pirate,False
32881,Doctor Indigo,False
13018,Fleet Admiral,False
13018,Gensui,False
13018,the Buddha,False
13018,The Resourceful General,False
23677,Kinjishi,False
23677,Gold Lion,False
23677,Flying Pirate,False
19168,Iron Mask,False
19168,Handsome,False
21212,Sonchou,False
21212,Hoop Slap,False
20178,Shakky,False
5421,赤鬼,False
5421,Red Ogre,False
5750,Iceberg,False
5750,Ice for brains,False
22618,Chief Warden,False
22618,Vice Warden,True
4883,King of the Pirates,False
4883,Kaizoku Ou,False
4883,Gol D. Roger,True
4883,ゴール・D・ロジャー,True
5415,Mr. 8,False
5415,Igarappoi,False
21558,Great Tactician,False
21558,Vice-Admiral,False
5420,青鬼,False
5420,Blue Ogre,False
10444,Captain Zeff,False
10444,Red Leg,False
21559,Diamond Jozu,False
24010,Vice-Admiral,False
11400,Jabra,False
32949,Fleet Admiral,False
69067,Zephyr,False
69067,Black Arm Zephyr,False
21093,Kizaru,False
21093,The Yellow Monkey,False
4882,Benn Beckman,False
4885,Lucky Roo,False
12560,The Evil Pirate Ganzack,False
7467,Ghost Princess,False
2064,Hawk-Eyes,False
2064,Strongest Swordsman in the World,False
2064,Marine Hunter,True
2064,Naval Hunter,True
21443,Margaret,False
22694,Elder Nyon,False
7644,Wyper,False
7644,The Berserker,False
17191,Liar,False
22802,Skyrider,False
17561,Gedatz,False
17561,Sky Boss Gedatsu,False
22800,Skybreeder,False
22801,森のサトリ,False
22801,of the Forest,False
22798,Sky Knight,False
23024,Raki,False
2159,Kurin-chan,False
2159,Krillin,False
2159,Kulilin,False
2159,Clearin,False
9377,Hercule,False
913,Prince of All Saiyans,False
913,Vegeta IV,False
913,Prince Vegeta,False
913,Saiyan Prince,False
914,Ma Junior,False
914,Big Green,False
914,King Piccolo,False
914,Demon Junior,False
914,Mr. Piccolo,False
914,Piccolo Jr.,False
914,Cor Petit Jr.,False
914,Kamiccolo,True
678,Buruma,False
678,Bloomers,False
678,Lena,False
678,Blooma,False
2707,Kid Trunks,False
2707,Future Trunks,False
2707,Trunks Brief,True
6167,Master Roshi,False
6167,Kame Sennin,False
6167,Jackie Chun,False
6167,Turtle Hermit,False
6167,Master Kame,False
6167,Turtle Immortal,False
6167,Follet Tortuga,False
246,Goku Son,False
246,Kakarot,True
246,Kakarotto,True
246,カカロット,True
2093,The Great Saiyaman,False
2093,The Gold Fighter,False
4850,King Kai,False
4850,North Kai,False
4850,North Kai King,False
32466,King Cold,False
